ts,dado,Ano,Trimestre,Mês,Dia,Ordem
2022-01-01 00:00:47,65.97,2022,1,1,1,0
2022-01-01 00:05:47,66.01,2022,1,1,1,0
2022-01-01 00:10:47,66.08000000000001,2022,1,1,1,0
2022-01-01 00:15:47,66.14,2022,1,1,1,0
2022-01-01 00:20:47,66.19000000000001,2022,1,1,1,0
2022-01-01 00:25:47,66.23,2022,1,1,1,0
2022-01-01 00:30:47,66.29,2022,1,1,1,0
2022-01-01 00:35:47,66.34,2022,1,1,1,0
2022-01-01 00:40:47,66.4,2022,1,1,1,0
2022-01-01 00:45:47,66.43,2022,1,1,1,0
2022-01-01 00:50:47,66.46000000000001,2022,1,1,1,0
2022-01-01 00:55:47,66.5,2022,1,1,1,0
2022-01-01 01:00:47,66.52000000000001,2022,1,1,1,0
2022-01-01 01:05:47,66.59,2022,1,1,1,0
2022-01-01 01:10:47,66.64,2022,1,1,1,0
2022-01-01 01:15:47,66.66000000000001,2022,1,1,1,0
2022-01-01 01:20:47,66.71000000000001,2022,1,1,1,0
2022-01-01 01:25:47,66.71000000000001,2022,1,1,1,0
2022-01-01 01:30:47,66.76,2022,1,1,1,0
2022-01-01 01:35:47,66.79,2022,1,1,1,0
2022-01-01 01:40:47,66.82000000000001,2022,1,1,1,0
2022-01-01 01:45:47,66.85000000000001,2022,1,1,1,0
2022-01-01 01:50:47,66.87,2022,1,1,1,0
2022-01-01 01:55:47,66.91000000000001,2022,1,1,1,0
2022-01-01 02:00:47,66.95,2022,1,1,1,0
2022-01-01 02:05:47,66.97,2022,1,1,1,0
2022-01-01 02:10:47,67.01,2022,1,1,1,0
2022-01-01 02:15:47,67.05000000000001,2022,1,1,1,0
2022-01-01 02:20:47,67.05000000000001,2022,1,1,1,0
2022-01-01 02:25:47,67.10000000000001,2022,1,1,1,0
2022-01-01 02:30:47,67.14,2022,1,1,1,0
2022-01-01 02:35:47,67.16000000000001,2022,1,1,1,0
2022-01-01 02:40:47,67.17,2022,1,1,1,0
2022-01-01 02:45:47,67.22,2022,1,1,1,0
2022-01-01 02:50:47,67.23,2022,1,1,1,0
2022-01-01 02:55:47,67.24000000000001,2022,1,1,1,0
2022-01-01 03:00:47,67.28,2022,1,1,1,0
2022-01-01 03:05:47,67.32000000000001,2022,1,1,1,0
2022-01-01 03:10:47,67.32000000000001,2022,1,1,1,0
2022-01-01 03:15:47,67.33000000000001,2022,1,1,1,0
